"","country_long","count_thousands","country_short","count"
"1","Belgium","833.8","BE",833800
"2","Bulgaria","9.5","BG",9500
"3","Czechia","220.8","CZ",220800
"4","Denmark","289.2","DK",289200
"5","Germany","7717.3","DE",7717300
"6","Estonia","68.0","EE",68000
"7","Ireland","571.1","IE",571100
"8","Greece","313.6","EL",313600
"9","Spain","3452.9","ES",3452900
"10","France","3250.2","FR",3250200
"11","Croatia","171.2","HR",171200
"12","Italy","3288.5","IT",3288500
"13","Cyprus","107.4","CY",107400
"14","Latvia","73.5","LV",73500
"15","Lithuania","63.0","LT",63000
"16","Luxembourg","164.1","LU",164100
"17","Hungary","124.9","HU",124900
"18","Malta","65.9","MT",65900
"19","Netherlands","1026.2","NL",1026200
"20","Austria","911.2","AT",911200
"21","Poland","131.5","PL",131500
"22","Portugal","517.1","PT",517100
"23","Romania","9.6","RO",9600
"24","Slovenia","101.7","SI",101700
"25","Slovakia","25.3","SK",25300
"26","Finland","160.6","FI",160600
"27","Sweden","1015.8","SE",1015800
"28","Iceland","20.1","IS",20100
"29","Norway","493.8","NO",493800
"30","Switzerland","1443.3","CH",1443300
"31","United Kingdom","5656.2","UK",5656200
"32","Baltics",NA,"Baltics",204500
"33","eu07",NA,"eu07",19100
"34","Visegrad",NA,"Visegrad",502500
"35","yugo",NA,"yugo",272900
